graph_id,model,n_nodes,m0,m,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
1,barabasi_albert,100,5,2,100,3.316,4.0,2.4413111231467406,"{10: 1, 12: 3, 9: 3, 4: 13, 7: 9, 6: 6, 8: 1, 5: 6, 3: 22, 2: 36}",-0.7870583029069778
2,barabasi_albert,100,5,2,100,3.3306,4.0,2.4,"{13: 1, 12: 1, 7: 8, 10: 2, 6: 7, 5: 6, 9: 2, 11: 1, 4: 14, 2: 32, 3: 26}",-0.7870583029069778
3,barabasi_albert,100,5,2,100,3.3728,4.0,2.2891046284519194,"{8: 6, 6: 8, 11: 1, 12: 1, 10: 2, 7: 4, 5: 12, 4: 11, 2: 36, 3: 19}",-0.7870583029069778
4,barabasi_albert,100,5,2,100,3.3198,4.0,2.4413111231467406,"{9: 4, 13: 2, 10: 1, 6: 4, 7: 7, 4: 16, 5: 7, 8: 3, 3: 20, 2: 36}",-0.7870583029069778
5,barabasi_albert,100,5,2,100,3.3326,4.0,2.4738633753705965,"{6: 9, 14: 2, 10: 1, 13: 1, 7: 3, 9: 2, 3: 16, 4: 11, 5: 18, 2: 37}",-0.7870583029069778
6,barabasi_albert,100,5,2,100,3.3532,4.0,2.2494443758403984,"{9: 3, 8: 5, 13: 1, 5: 11, 11: 1, 6: 9, 4: 17, 3: 16, 7: 2, 2: 35}",-0.7870583029069778
7,barabasi_albert,100,5,2,100,3.2384,4.0,2.6608269391300143,"{8: 2, 14: 1, 13: 1, 11: 1, 10: 3, 12: 1, 3: 23, 9: 2, 7: 4, 5: 5, 6: 4, 4: 17, 2: 36}",-0.7870583029069778
8,barabasi_albert,100,5,2,100,3.3366,4.0,2.253885533916929,"{9: 3, 8: 4, 11: 2, 7: 5, 10: 1, 6: 7, 4: 15, 5: 8, 3: 22, 2: 33}",-0.7870583029069778
9,barabasi_albert,100,5,2,100,3.2746,4.0,2.584569596664017,"{16: 1, 9: 2, 14: 1, 11: 1, 10: 1, 6: 6, 7: 8, 4: 13, 3: 20, 5: 9, 8: 1, 2: 37}",-0.7870583029069778
10,barabasi_albert,100,5,2,100,3.2236,4.0,2.7676705006196096,"{9: 2, 17: 1, 16: 1, 12: 1, 10: 2, 7: 4, 4: 14, 3: 23, 5: 8, 8: 2, 6: 6, 2: 36}",-0.7870583029069778
11,barabasi_albert,100,5,2,100,3.3262,4.0,2.262741699796952,"{7: 4, 9: 3, 8: 5, 13: 1, 12: 1, 5: 16, 4: 12, 6: 3, 3: 24, 2: 31}",-0.7870583029069778
12,barabasi_albert,100,5,2,100,3.3202,4.0,2.349468024894146,"{10: 1, 11: 1, 9: 5, 12: 1, 6: 8, 8: 4, 7: 2, 3: 22, 5: 6, 4: 16, 2: 34}",-0.7870583029069778
13,barabasi_albert,100,5,2,100,3.2682,4.0,2.6267851073127395,"{12: 3, 9: 3, 14: 2, 6: 8, 5: 13, 7: 2, 4: 8, 3: 28, 2: 33}",-0.7870583029069778
