graph_id,model,n_nodes,n_edges_target,m0,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
1,barabasi_albert,100,150,5,10,4.2024,3.0,1.7492855684535902,"{6: 5, 8: 2, 5: 9, 7: 3, 2: 25, 1: 22, 4: 14, 3: 20}",-0.7042621390296911
2,barabasi_albert,100,150,5,10,3.9712,3.0,2.130727575266252,"{7: 5, 10: 2, 8: 2, 6: 2, 9: 1, 4: 13, 2: 27, 3: 15, 5: 6, 1: 27}",-0.7042621390296911
3,barabasi_albert,100,150,5,10,4.105,3.0,1.8275666882497066,"{4: 18, 11: 1, 8: 1, 10: 1, 2: 24, 6: 2, 7: 2, 5: 6, 3: 25, 1: 20}",-0.7042621390296911
4,barabasi_albert,100,150,5,10,4.0644,3.0,1.9026297590440449,"{6: 8, 5: 6, 3: 25, 10: 1, 4: 11, 7: 1, 9: 2, 1: 24, 2: 22}",-0.7042621390296911
5,barabasi_albert,100,150,5,10,4.198,3.0,1.8384776310850235,"{6: 5, 4: 12, 5: 4, 7: 3, 2: 36, 9: 2, 1: 15, 3: 22, 10: 1}",-0.7042621390296911
6,barabasi_albert,100,150,5,10,4.3038,3.0,1.7262676501632068,"{8: 1, 11: 1, 7: 2, 5: 11, 6: 2, 4: 14, 2: 25, 1: 19, 3: 25}",-0.7042621390296911
7,barabasi_albert,100,150,5,10,4.2704,3.0,1.794435844492636,"{7: 5, 8: 2, 6: 3, 5: 10, 4: 13, 3: 15, 2: 32, 1: 20}",-0.7042621390296911
8,barabasi_albert,100,150,5,10,4.237,3.0,1.8920887928424501,"{7: 4, 9: 2, 6: 5, 4: 16, 2: 32, 8: 1, 5: 5, 1: 21, 3: 14}",-0.7042621390296911
9,barabasi_albert,100,150,5,10,4.4506,3.0,1.5684387141358123,"{8: 2, 5: 13, 4: 15, 6: 4, 3: 18, 2: 33, 1: 15}",-0.7042621390296911
10,barabasi_albert,100,150,5,10,4.1414,3.0,1.697056274847714,"{10: 1, 7: 2, 5: 6, 9: 1, 6: 2, 8: 1, 2: 32, 4: 16, 3: 25, 1: 14}",-0.7042621390296911
11,barabasi_albert,100,150,5,10,4.2916,3.0,1.8275666882497066,"{9: 1, 5: 12, 6: 5, 10: 1, 7: 2, 2: 32, 4: 12, 3: 15, 1: 20}",-0.7042621390296911
12,barabasi_albert,100,150,5,10,4.2124,3.0,1.7888543819998317,"{4: 17, 5: 6, 7: 5, 10: 1, 3: 21, 8: 1, 6: 2, 2: 27, 1: 20}",-0.7042621390296911
13,barabasi_albert,100,150,5,10,4.1502,3.0,1.944222209522358,"{8: 2, 6: 3, 10: 2, 5: 8, 9: 1, 3: 24, 7: 1, 1: 20, 4: 10, 2: 29}",-0.7042621390296911
14,barabasi_albert,100,150,5,10,3.939,3.0,2.1118712081942874,"{6: 5, 7: 3, 8: 1, 13: 1, 4: 16, 3: 12, 11: 1, 1: 23, 2: 32, 5: 6}",-0.7042621390296911
15,barabasi_albert,100,150,5,10,4.0738,3.0,1.8275666882497066,"{7: 4, 5: 15, 8: 2, 2: 24, 6: 3, 3: 18, 4: 9, 1: 25}",-0.7042621390296911
16,barabasi_albert,100,150,5,10,4.2042,3.0,1.7320508075688772,"{7: 4, 5: 5, 8: 1, 4: 13, 6: 8, 3: 20, 2: 30, 1: 19}",-0.7042621390296911
17,barabasi_albert,100,150,5,10,4.1646,3.0,1.96468827043885,"{5: 9, 6: 2, 8: 3, 12: 1, 7: 1, 3: 22, 4: 12, 2: 28, 9: 1, 1: 21}",-0.7042621390296911
18,barabasi_albert,100,150,5,10,4.3112,3.0,1.5874507866387544,"{7: 3, 5: 7, 6: 4, 4: 19, 8: 1, 3: 21, 2: 28, 1: 17}",-0.7042621390296911
